left_collar,left_elbow,left_hand,left_shoulder,left_wrist,right_collar,right_elbow,right_hand,right_shoulder,right_wrist
[ 292.14835  301.01804 1465.5417 ],[ 286.43103  384.7742  1393.5109 ],[ 296.6003   204.61612 1497.418  ],[ 387.6924  423.3509 1281.0641],[ 388.78345  446.5157  1250.0215 ],[ 191.85626  314.32678 1414.1287 ],[ 190.51541  417.38528 1269.8002 ],[ 190.2098   440.87372 1240.9344 ],[ 332.5207  739.346  1390.6998],[ 240.42467  395.01486 1380.6816 ]
[ 292.1547   300.97076 1465.5961 ],[ 286.4493   384.72626 1393.7452 ],[ 296.6007   204.61482 1497.4286 ],[ 387.72372  423.32852 1281.3555 ],[ 388.83337  446.46338 1250.413  ],[ 191.83838  314.4016  1414.0168 ],[ 190.51703  417.17038 1269.305  ],[ 190.21576  440.6017  1240.3627 ],[ 332.52924  739.3816  1390.5056 ],[ 240.42     395.01813 1380.688  ]
[ 292.16162  300.9554  1465.6493 ],[ 286.472    384.71378 1394.0256 ],[ 296.602   204.6139 1497.4417],[ 387.73636  423.31094 1281.6445 ],[ 388.84503  446.41946 1250.7874 ],[ 191.77283  314.57538 1413.6034 ],[ 190.51761  417.29156 1269.3176 ],[ 190.2315  440.7022 1240.4604],[ 332.55054  739.54834 1389.997  ],[ 240.39375  395.03683 1380.6771 ]
[ 292.16772  300.96567 1465.6943 ],[ 286.49243  384.72598 1394.2758 ],[ 296.60355  204.61266 1497.4548 ],[ 387.7797   423.29056 1281.8596 ],[ 388.89502  446.37503 1251.0798 ],[ 191.76761  314.58832 1413.3577 ],[ 190.53362  417.2409  1269.504  ],[ 190.2525   440.62784 1240.7333 ],[ 332.57053  739.6768  1389.5648 ],[ 240.37576  395.06766 1380.6696 ]
[ 292.17264  300.99512 1465.73   ],[ 286.50946  384.75555 1394.4829 ],[ 296.60516  204.61087 1497.4673 ],[ 387.83374  423.19073 1281.9824 ],[ 388.96378  446.23972 1251.2205 ],[ 191.77904  314.5966  1413.1582 ],[ 190.53545  417.18646 1269.7069 ],[ 190.25223  440.55048 1241.0166 ],[ 332.57614  739.7761  1389.2594 ],[ 240.36526  395.08972 1380.6648 ]
[ 292.1767   301.03897 1465.759  ],[ 286.52438  384.7982  1394.6641 ],[ 296.60675  204.60858 1497.4796 ],[ 387.88354  423.1124  1282.0824 ],[ 389.02838  446.13318 1251.334  ],[ 191.7586   314.56317 1412.8889 ],[ 190.57352  417.12253 1269.8738 ],[ 190.30373  440.47037 1241.2708 ],[ 332.56314  740.0451  1388.4536 ],[ 240.33194  395.01892 1380.6418 ]
[ 292.18097  301.0973  1465.7886 ],[ 286.54407  384.85806 1394.901  ],[ 296.60864  204.60614 1497.4933 ],[ 388.04132  423.1103  1282.169  ],[ 389.22714  446.12045 1251.4562 ],[ 191.76315  314.58463 1412.9447 ],[ 190.61438  417.08026 1270.0604 ],[ 190.3529   440.41052 1241.4835 ],[ 332.59265  740.04596 1388.4407 ],[ 240.32402  395.11566 1380.6273 ]
[ 292.18524  301.16895 1465.817  ],[ 286.56467  384.93103 1395.1418 ],[ 296.6107   204.60333 1497.5079 ],[ 388.27115  422.9639  1282.4441 ],[ 389.5004   445.93976 1251.709  ],[ 191.7827   314.60303 1413.0066 ],[ 190.64894  416.9764  1270.0586 ],[ 190.39087  440.28015 1241.469  ],[ 332.64377  739.83167 1389.005  ],[ 240.31639  395.22015 1380.6248 ]
[ 292.18872  301.24948 1465.8401 ],[ 286.57913  385.0082  1395.3086 ],[ 296.6127   204.59998 1497.5221 ],[ 388.25302  422.7723  1282.6165 ],[ 389.472   445.7031 1251.8452],[ 191.79962  314.63214 1413.0465 ],[ 190.68231  416.84735 1270.0177 ],[ 190.42795  440.11682 1241.412  ],[ 332.65958  739.7355  1389.2382 ],[ 240.2995  395.2119 1380.6182]
[ 292.1919   301.33765 1465.8595 ],[ 286.59616  385.0945  1395.5067 ],[ 296.61478  204.59619 1497.536  ],[ 388.28076  422.59647 1282.8031 ],[ 389.50504  445.4831  1251.9825 ],[ 191.8261   314.65582 1413.1039 ],[ 190.67825  416.77646 1270.1921 ],[ 190.41696  440.02164 1241.6097 ],[ 332.6639  739.9639 1388.5742],[ 240.27602  395.2392  1380.5824 ]
[ 292.19427  301.4292  1465.8734 ],[ 286.59686  385.17212 1395.5089 ],[ 296.61676  204.59184 1497.5491 ],[ 388.31265  422.44492 1282.9725 ],[ 389.54596  445.2939  1252.1129 ],[ 191.84702  314.67126 1413.147  ],[ 190.6662   416.71094 1270.3397 ],[ 190.39746  439.9352  1241.7783 ],[ 332.6258  739.931  1388.5991],[ 240.3053   395.23322 1380.5747 ]
